"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
0.000000000E0,4.675963858E1,1.203272693E1,1.057354248E3,-1.000000000E0,-1.000000000E0,1.943393200E2,1.943393200E2
2.104970217E-1,4.675963858E1,1.203272693E1,1.057354248E3,-1.000000000E0,-1.000000000E0,1.943973988E2,1.943973988E2
3.228030205E-1,4.675937558E1,1.203295858E1,1.053987915E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
6.641260386E-1,4.675937343E1,1.203296048E1,1.053538330E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.168575048E0,4.675944328E1,1.203286069E1,1.053317871E3,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
5.477618814E0,4.675936244E1,1.203302935E1,1.057727627E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
6.477619052E0,4.675936244E1,1.203302935E1,1.057839809E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
7.477616549E0,4.675936244E1,1.203302935E1,1.057947598E3,0.000000000E0,0.000000000E0,5.000000000E1,5.000000000E1
8.477618814E0,4.675936244E1,1.203302935E1,1.058217983E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
9.477620363E0,4.675936244E1,1.203302935E1,1.058458218E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.047762024E1,4.675936244E1,1.203302935E1,1.058813808E3,0.000000000E0,0.000000000E0,3.000000000E1,3.000000000E1
1.147762144E1,4.675936244E1,1.203302935E1,1.059261806E3,0.000000000E0,0.000000000E0,1.000000000E1,1.000000000E1