"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,-1.287121964E1,-2.600205994E1,3.761955643E1
2.176600000E-2,-1.286039543E1,-2.599722290E1,3.762659454E1
4.352500000E-2,-1.288224983E1,-2.592606354E1,3.766819763E1
6.531500000E-2,-1.290490246E1,-2.585480690E1,3.770940018E1
8.707400000E-2,-1.292717934E1,-2.578407097E1,3.775017166E1
1.088130000E-1,-1.290984917E1,-2.580298233E1,3.774318314E1
1.305920000E-1,-1.290499973E1,-2.579721069E1,3.774877930E1
1.523460000E-1,-1.293349838E1,-2.570646477E1,3.780090332E1
1.741100000E-1,-1.293234158E1,-2.569339180E1,3.781018829E1
1.958610000E-1,-1.295611000E1,-2.562277985E1,3.784994888E1
2.176280000E-1,-1.297728539E1,-2.555135345E1,3.789095306E1
2.393791250E-1,-1.299467850E1,-2.549496078E1,3.792296982E1
2.611381250E-1,-1.301868439E1,-2.542221069E1,3.796355057E1
2.829151250E-1,-1.304622841E1,-2.533303070E1,3.801367569E1
3.046771250E-1,-1.306810570E1,-2.526158524E1,3.805368805E1
3.264461250E-1,-1.308887863E1,-2.519139290E1,3.809306335E1
3.482041250E-1,-1.297745800E1,-2.545994377E1,3.795237350E1
3.699641250E-1,-1.290825176E1,-2.561813354E1,3.786943817E1
3.917141250E-1,-1.293138695E1,-2.554883385E1,3.790834045E1
4.134961250E-1,-1.295374870E1,-2.547786331E1,3.794845200E1
4.352411250E-1,-1.297631836E1,-2.540825081E1,3.798738861E1
4.570001250E-1,-1.290381622E1,-2.557976532E1,3.789687347E1
4.787901250E-1,-1.289421463E1,-2.557457352E1,3.790364456E1
5.005481250E-1,-1.291532230E1,-2.550433922E1,3.794376373E1
5.223131250E-1,-1.293565369E1,-2.543467903E1,3.798357391E1
5.440661250E-1,-1.290510368E1,-2.549283028E1,3.795497513E1
5.658251250E-1,-1.289365482E1,-2.550376892E1,3.795151520E1
5.875681250E-1,-1.291556644E1,-2.543446732E1,3.799055099E1
6.093431250E-1,-1.288739681E1,-2.548344994E1,3.796728516E1
6.311021250E-1,-1.286966038E1,-2.551041412E1,3.795519638E1
6.528741250E-1,-1.289684582E1,-2.542422295E1,3.800376511E1
6.746211250E-1,-1.287747860E1,-2.544922447E1,3.799360275E1
6.964021250E-1,-1.289879036E1,-2.538044357E1,3.803235626E1
7.181691250E-1,-1.292274570E1,-2.531096840E1,3.807051086E1
7.399281250E-1,-1.289845276E1,-2.536090469E1,3.804550552E1
7.616871250E-1,-1.284246445E1,-2.547631454E1,3.798730087E1
7.834531250E-1,-1.286435699E1,-2.540539169E1,3.802736664E1
8.052051250E-1,-1.288690948E1,-2.533295631E1,3.806802750E1
8.269641250E-1,-1.290965652E1,-2.526063919E1,3.810836029E1
8.487241250E-1,-1.288277626E1,-2.533455658E1,3.806836700E1
8.704821250E-1,-1.282354069E1,-2.546418571E1,3.800181961E1
8.922451250E-1,-1.281318474E1,-2.546121597E1,3.800729752E1
9.140321250E-1,-1.283569717E1,-2.539155388E1,3.804628754E1
9.357901250E-1,-1.285739899E1,-2.532351685E1,3.808428574E1
9.575491250E-1,-1.280189610E1,-2.544499779E1,3.802195740E1
9.793081250E-1,-1.282126331E1,-2.539018440E1,3.805206299E1
1.001067125E0,-1.277401257E1,-2.549545288E1,3.799753189E1
1.022826125E0,-1.276373672E1,-2.550247002E1,3.799627686E1
1.044585125E0,-1.278476620E1,-2.543347549E1,3.803543091E1
1.066344125E0,-1.280752563E1,-2.536208916E1,3.807542038E1
1.088120125E0,-1.278901196E1,-2.538791847E1,3.806443024E1
1.109893125E0,-1.275586033E1,-2.544847107E1,3.803510284E1
1.131652125E0,-1.274884510E1,-2.544752502E1,3.803808975E1
1.153417125E0,-1.277122307E1,-2.537467766E1,3.807923126E1
1.175155125E0,-1.280118561E1,-2.528427124E1,3.812926865E1
1.196923125E0,-1.282329941E1,-2.521298981E1,3.816901779E1
1.218688125E0,-1.284717751E1,-2.514246368E1,3.820748901E1
1.240447125E0,-1.279647636E1,-2.525432014E1,3.815069199E1
1.262206125E0,-1.271372032E1,-2.543572426E1,3.805773544E1
1.283986125E0,-1.269880676E1,-2.545260048E1,3.805142593E1
1.305755125E0,-1.272135735E1,-2.538162994E1,3.809128571E1
1.327514125E0,-1.274382591E1,-2.530912399E1,3.813199997E1
1.349273125E0,-1.266484261E1,-2.546521568E1,3.805431366E1
1.371032125E0,-1.260848808E1,-2.559682083E1,3.798466492E1
1.392792125E0,-1.257135487E1,-2.567019081E1,3.794744492E1
1.414563125E0,-1.255079174E1,-2.572765923E1,3.791532135E1
1.436309125E0,-1.255519485E1,-2.570467949E1,3.792944336E1
1.458068125E0,-1.252811050E1,-2.574231720E1,3.791286850E1
1.479837125E0,-1.252795315E1,-2.572326660E1,3.792584991E1
1.501616125E0,-1.251905823E1,-2.573444366E1,3.792120361E1
1.523375125E0,-1.252571487E1,-2.569454765E1,3.794605255E1
1.545134125E0,-1.252854729E1,-2.566182709E1,3.796725464E1
1.566893125E0,-1.252717304E1,-2.564623260E1,3.797824478E1
1.588662125E0,-1.254613781E1,-2.557746887E1,3.801832962E1
1.610412125E0,-1.253551865E1,-2.558864403E1,3.801431274E1
1.632171125E0,-1.255648518E1,-2.552022171E1,3.805337524E1
1.653948125E0,-1.257801533E1,-2.545220757E1,3.809178925E1
1.675719125E0,-1.259944153E1,-2.538369179E1,3.813041306E1
1.697478125E0,-1.257769108E1,-2.542160225E1,3.811233139E1
1.719237125E0,-1.256701183E1,-2.541964531E1,3.811716080E1
1.740996125E0,-1.259049892E1,-2.535059357E1,3.815537643E1
1.762755125E0,-1.261259270E1,-2.527809334E1,3.819615936E1
1.784523125E0,-1.258602047E1,-2.531248665E1,3.818214417E1
1.806291125E0,-1.251790142E1,-2.545398712E1,3.811040497E1
1.828028125E0,-1.249557400E1,-2.548978615E1,3.809379959E1
1.849791125E0,-1.251735973E1,-2.541980743E1,3.813338852E1
1.871581125E0,-1.253920174E1,-2.534875298E1,3.817348862E1
1.893340125E0,-1.248143768E1,-2.546265984E1,3.811656570E1
1.915094125E0,-1.246374798E1,-2.548504257E1,3.810739899E1
1.936858125E0,-1.241425610E1,-2.557403946E1,3.806390762E1
1.958617125E0,-1.237777710E1,-2.563582039E1,3.803420639E1
1.980376125E0,-1.240037441E1,-2.556342888E1,3.807555008E1
2.002135125E0,-1.242426872E1,-2.549200249E1,3.811562729E1
2.023894125E0,-1.244579411E1,-2.542101860E1,3.815599823E1
2.045684125E0,-1.239344025E1,-2.553871155E1,3.809439468E1
2.067443125E0,-1.238910294E1,-2.552377129E1,3.810581207E1
2.089202125E0,-1.241275120E1,-2.545185089E1,3.814620209E1
2.110961125E0,-1.243074226E1,-2.539325905E1,3.817938614E1
2.132720125E0,-1.245402813E1,-2.532061005E1,3.822001648E1
2.154479125E0,-1.247695446E1,-2.525066948E1,3.825879669E1
2.176242125E0,-1.243603897E1,-2.531684685E1,3.822837067E1
2.198021125E0,-1.235860443E1,-2.549934196E1,3.813206863E1
2.219756125E0,-1.233499050E1,-2.554767609E1,3.810734940E1
2.241546125E0,-1.234333229E1,-2.548077393E1,3.814942169E1
2.263305125E0,-1.230354118E1,-2.544499969E1,3.818613434E1
2.285050125E0,-1.210307789E1,-2.544300461E1,3.825146866E1
2.306817125E0,-1.192336559E1,-2.536017418E1,3.836275482E1
2.328582125E0,-1.113191891E1,-2.522281837E1,3.868973160E1
2.350341125E0,-1.072337532E1,-2.511462784E1,3.887506485E1
2.372114125E0,-1.066087246E1,-2.521918297E1,3.882453537E1
2.393859125E0,-8.982954025E0,-2.515683365E1,3.928671646E1
2.415620125E0,-4.959761620E0,-2.488976860E1,4.016100693E1
2.437392125E0,1.362331390E0,-2.504608917E1,4.034654236E1
2.459161125E0,3.933245659E0,-2.528052711E1,4.003036880E1
2.480929125E0,1.026295376E1,-2.628547096E1,3.821978378E1
2.502684125E0,1.365720463E1,-2.664994431E1,3.688179779E1
2.524432125E0,1.652743149E1,-2.660692215E1,3.572004318E1
2.546203125E0,2.192730331E1,-2.633110237E1,3.290702438E1
2.567963125E0,2.611256599E1,-2.614381790E1,2.986035156E1
2.589721125E0,2.965124702E1,-2.617394638E1,2.631983948E1
2.611510125E0,3.192506409E1,-2.635450745E1,2.330742455E1
2.633269125E0,3.444388962E1,-2.665205002E1,1.898137283E1
2.655023125E0,3.700666428E1,-2.679035187E1,1.303034019E1
2.676768125E0,3.859772873E1,-2.669861603E1,7.375999928E0
2.698546125E0,3.940966797E1,-2.649213409E1,1.432065964E0
2.720305125E0,3.938677979E1,-2.624151802E1,-4.131583214E0
2.742064125E0,3.884433746E1,-2.625275040E1,-7.675725937E0
2.763824125E0,3.751543045E1,-2.646782303E1,-1.220871735E1
2.785601125E0,3.623730469E1,-2.651998711E1,-1.550980759E1
2.807372125E0,3.413368988E1,-2.694852448E1,-1.912261963E1
2.829131125E0,3.216158676E1,-2.762801361E1,-2.143201447E1
2.850891125E0,2.941289330E1,-2.900717163E1,-2.346213341E1
2.872637125E0,2.676264381E1,-3.067363548E1,-2.449275398E1
2.894408125E0,2.440421104E1,-3.215796280E1,-2.504607391E1
2.916167125E0,2.223313141E1,-3.322718811E1,-2.566413498E1
2.937926125E0,2.046647835E1,-3.395820618E1,-2.617192459E1
2.959685125E0,1.931598663E1,-3.452714920E1,-2.630160713E1
2.981448125E0,1.823703003E1,-3.530680847E1,-2.603547668E1
3.003234125E0,1.775813675E1,-3.567704773E1,-2.586122513E1
3.024993125E0,1.737785721E1,-3.587684250E1,-2.584314728E1
3.046755125E0,1.690389442E1,-3.606581497E1,-2.589442444E1
3.068512125E0,1.661166191E1,-3.622836685E1,-2.585660744E1
3.090271125E0,1.621605873E1,-3.632922363E1,-2.596599770E1
3.112029125E0,1.585290909E1,-3.642620850E1,-2.605422211E1
3.133788125E0,1.541676521E1,-3.656279755E1,-2.612453461E1
3.155559125E0,1.524750328E1,-3.665478897E1,-2.609494972E1
3.177325125E0,1.513023186E1,-3.694500732E1,-2.575166893E1
3.199096125E0,1.521172714E1,-3.722441101E1,-2.529727936E1
3.220855125E0,1.538978386E1,-3.747513580E1,-2.481480789E1
3.242614125E0,1.545251369E1,-3.761297226E1,-2.456603241E1
3.264374125E0,1.553380299E1,-3.776155090E1,-2.428522301E1
3.286143125E0,1.557017040E1,-3.791975784E1,-2.401390457E1
3.307891125E0,1.566419601E1,-3.841399002E1,-2.315176773E1
3.329650125E0,1.573658371E1,-3.867176056E1,-2.266849899E1
3.351409125E0,1.592541885E1,-3.874354553E1,-2.241259956E1
3.373178125E0,1.617556572E1,-3.881394196E1,-2.210960960E1
3.394952125E0,1.647655678E1,-3.897688675E1,-2.159470558E1
3.416703125E0,1.667779160E1,-3.913249588E1,-2.115431595E1
3.438475125E0,1.675293922E1,-3.920058441E1,-2.096804810E1
3.460235125E0,1.692156601E1,-3.922967911E1,-2.077735901E1
3.481994125E0,1.718099594E1,-3.919361115E1,-2.063201714E1
3.503753125E0,1.749488640E1,-3.913371277E1,-2.048138809E1
3.525524125E0,1.683883667E1,-3.970822525E1,-1.991774178E1
3.547301125E0,1.695432854E1,-3.969666290E1,-1.984267235E1
3.569048125E0,1.704229355E1,-3.963948059E1,-1.988159561E1
3.590820125E0,1.712730980E1,-3.962471008E1,-1.983794403E1
3.612578125E0,1.716294861E1,-3.966751862E1,-1.972123909E1
3.634337125E0,1.718149567E1,-3.974730682E1,-1.954363823E1
3.656096125E0,1.719214821E1,-3.979157257E1,-1.944393539E1
3.677849125E0,1.690666389E1,-3.988610458E1,-1.950049591E1
3.699614125E0,1.696588898E1,-3.993416977E1,-1.935011101E1
3.721404125E0,1.721285820E1,-3.982990646E1,-1.934688759E1
3.743163125E0,1.731794548E1,-3.975921249E1,-1.939844513E1
3.764906125E0,1.727163124E1,-3.987454987E1,-1.920200920E1
3.786663125E0,1.719333267E1,-3.968305206E1,-1.966342926E1